Source,Target,Type,Id,Label,timeset,Weight,year,place,journal
张肖梅(1948),使命 (n),Directed,219628,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
张肖梅(1948),对外贸易 (n),Directed,219629,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
张肖梅(1948),应有 (n),Directed,219630,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
张肖梅(1948),我国 (n),Directed,219631,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
张肖梅(1948),措施 (n),Directed,219632,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
张肖梅(1948),政府 (n),Directed,219633,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
张肖梅(1948),重大 (n),Directed,219634,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
杨博如(1948),使命 (n),Directed,219635,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
杨博如(1948),对外贸易 (n),Directed,219636,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
杨博如(1948),应有 (n),Directed,219637,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
杨博如(1948),我国 (n),Directed,219638,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
杨博如(1948),措施 (n),Directed,219639,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
杨博如(1948),政府 (n),Directed,219640,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
杨博如(1948),重大 (n),Directed,219641,,"<[1948.0, 1948.0]>",33,1948,上海,《再生》
波光(1948),战局 (n),Directed,219642,,"<[1948.0, 1948.0]>",28,1948,南京,《展望》
波光(1948),展望 (n),Directed,219643,,"<[1948.0, 1948.0]>",27,1948,南京,《展望》
叶新华(1948),制度 (n),Directed,219644,,"<[1948.0, 1948.0]>",25,1948,上海,《再生》
叶新华(1948),文官 (n),Directed,219645,,"<[1948.0, 1948.0]>",25,1948,上海,《再生》
杜衡(1948),制度 (n),Directed,219646,,"<[1948.0, 1948.0]>",23,1948,上海,《再生》
丁蕾(1948),展望 (n),Directed,219647,,"<[1948.0, 1948.0]>",21,1948,南京,《展望》
丁蕾(1948),国际 (n),Directed,219648,,"<[1948.0, 1948.0]>",20,1948,南京,《展望》
杜衡(1948),历史 (n),Directed,219649,,"<[1948.0, 1948.0]>",20,1948,上海,《再生》
杜衡(1948),史谈 (n),Directed,219650,,"<[1948.0, 1948.0]>",20,1948,上海,《再生》
杜衡(1948),政治 (n),Directed,219651,,"<[1948.0, 1948.0]>",20,1948,上海,《再生》
王亚南(1948),官僚政治 (n),Directed,219652,,"<[1948.0, 1948.0]>",20,1948,上海,《时与文》
柏苍(1948),经济 (n),Directed,219653,,"<[1948.0, 1948.0]>",18,1948,南京,《展望》
M.H.(1948),学生 (n),Directed,219654,,"<[1948.0, 1948.0]>",17,1948,上海,《国讯》
曾昭抡(1948),美国 (n),Directed,219655,,"<[1948.0, 1948.0]>",24,1948,香港,《光明报》
潮声(1948),战局 (n),Directed,219656,,"<[1948.0, 1948.0]>",16,1948,上海,《国讯》
王亚南(1948),中国 (n),Directed,219657,,"<[1948.0, 1948.0]>",16,1948,上海,《时与文》
张绍贤(1948),展望 (n),Directed,219658,,"<[1948.0, 1948.0]>",15,1948,南京,《展望》
文青(1948),经济 (n),Directed,219659,,"<[1948.0, 1948.0]>",14,1948,南京,《展望》
柏苍(1948),展望 (n),Directed,219660,,"<[1948.0, 1948.0]>",14,1948,南京,《展望》
陈振汉(1948),制度 (n),Directed,219661,,"<[1948.0, 1948.0]>",14,1948,北平,《新路周刊》
叶新华(1948),各国 (n),Directed,219662,,"<[1948.0, 1948.0]>",13,1948,上海,《再生》
张绍贤(1948),政局 (n),Directed,219663,,"<[1948.0, 1948.0]>",13,1948,南京,《展望》
文青(1948),展望 (n),Directed,219664,,"<[1948.0, 1948.0]>",13,1948,南京,《展望》
M.H.(1948),华莱士 (n),Directed,219665,,"<[1948.0, 1948.0]>",11,1948,上海,《国讯》
M.H.(1948),反对 (n),Directed,219666,,"<[1948.0, 1948.0]>",11,1948,上海,《国讯》
陈达(1948),日内瓦 (n),Directed,219667,,"<[1948.0, 1948.0]>",11,1948,北平,《新路周刊》
陈达(1948),瑞士 (n),Directed,219668,,"<[1948.0, 1948.0]>",11,1948,北平,《新路周刊》
曾昭抡(1948),今日 (n),Directed,219669,,"<[1948.0, 1948.0]>",10,1948,上海,《时与文》
蔡尚思(1948),思想 (n),Directed,219670,,"<[1948.0, 1948.0]>",10,1948,上海,《时与文》
蔡尚思(1948),梁漱溟 (n),Directed,219671,,"<[1948.0, 1948.0]>",10,1948,上海,《时与文》
赵志华(1948),美国 (n),Directed,219672,,"<[1948.0, 1948.0]>",10,1948,上海,《中建》
M.H.(1948),民主 (n),Directed,219673,,"<[1948.0, 1948.0]>",9,1948,上海,《国讯》
章明(1948),展望 (n),Directed,219674,,"<[1948.0, 1948.0]>",9,1948,南京,《展望》
